Year,Primary Type,Description,Location Description,Latitude,Longitude
2001,BATTERY,SIMPLE,APARTMENT,41.931769005,-87.719699157
2001,ASSAULT,SIMPLE,GAS STATION,41.883104886,-87.686585822
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.869156058,-87.676464698
2001,ASSAULT,SIMPLE,CHA APARTMENT,41.677773969,-87.637240472
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.91806584,-87.718441579
2001,NARCOTICS,MANU/DELIVER:CRACK,CHA PARKING LOT/GROUNDS,41.906505009,-87.644584501
2001,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,41.85592642,-87.625716768
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.727925269,-87.600834604
2001,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,41.955269315,-87.674426783
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.91985511,-87.689900252
2001,THEFT,$500 AND UNDER,STREET,42.002738606,-87.672064553
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.970721325,-87.738120096
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.747748179,-87.586039132
2001,NARCOTICS,POSS: CRACK,ALLEY,41.745758125,-87.600027306
2001,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,RESIDENCE,41.921902016,-87.760852483
2001,ASSAULT,SIMPLE,RESIDENCE,41.764662758,-87.636939885
2001,BATTERY,SIMPLE,RESIDENCE,41.746433655,-87.697270753
2001,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,41.729304379,-87.551094515
2001,BATTERY,SIMPLE,RESIDENCE,41.695967711,-87.654008493
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.761651656,-87.55841359
2001,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,41.838623416,-87.639133076
2001,BATTERY,AGGRAVATED: HANDGUN,STREET,41.954363264,-87.671484006
2001,ROBBERY,STRONGARM - NO WEAPON,OTHER,41.756284301,-87.632408878
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,41.878021306,-87.745047194
2001,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,41.900215298,-87.75068032
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,41.79881516,-87.709985188
2001,NARCOTICS,POSS: CRACK,STREET,41.896134987,-87.714046036
2001,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.932304181,-87.66750046
2001,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,41.745957753,-87.614682756
2001,BATTERY,SIMPLE,STREET,41.752538845,-87.646123025
2001,BATTERY,SIMPLE,SIDEWALK,41.877415869,-87.676398479
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,41.879570244,-87.696396494
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",41.848578193,-87.708672836
2001,THEFT,$500 AND UNDER,APARTMENT,41.770361721,-87.584856605
2001,THEFT,$500 AND UNDER,ALLEY,41.772420582,-87.640976493
2001,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),41.976950882,-87.692290016
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,41.78515147,-87.654794868
2001,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,41.987594282,-87.702449282
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,41.807625055,-87.618256112
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,41.699854132,-87.533014345
2001,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,41.881765733,-87.739959913
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,41.74141686,-87.553790916
2001,BATTERY,SIMPLE,OTHER,41.91134123,-87.775146438
2001,BATTERY,AGGRAVATED: HANDGUN,APARTMENT,41.893393012,-87.656577678
2001,THEFT,$500 AND UNDER,STREET,41.724786926,-87.54863268
2001,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,41.896931936,-87.7198785
2001,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),OTHER,41.884472979,-87.745571916
2001,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,41.906127944,-87.677198935
2001,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,41.935194412,-87.737531734
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.940288928,-87.778867317
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.69633222,-87.622174242
2001,THEFT,$500 AND UNDER,RESIDENCE,41.891360397,-87.681393773
2001,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,RESIDENCE,41.842692174,-87.617073083
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.648760575,-87.545790973
2001,BATTERY,SIMPLE,SIDEWALK,41.85904773,-87.718368559
2001,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,41.885425223,-87.6549688
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.863048208,-87.715180407
2001,THEFT,$500 AND UNDER,STREET,41.780400355,-87.720583473
2001,THEFT,OVER $500,DEPARTMENT STORE,41.795503785,-87.76299455
2001,ROBBERY,ARMED: HANDGUN,RESTAURANT,41.722563329,-87.576345417
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.681467336,-87.630841909
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.903883485,-87.639440457
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,41.667748732,-87.634501002
2001,THEFT,POCKET-PICKING,DEPARTMENT STORE,41.781779317,-87.683857904
2001,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,41.750550439,-87.563641038
2001,THEFT,$500 AND UNDER,STREET,41.852354028,-87.636139988
2001,BURGLARY,UNLAWFUL ENTRY,APARTMENT,41.769468745,-87.572575674
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,41.777731687,-87.640670065
2001,ROBBERY,STRONGARM - NO WEAPON,STREET,41.874106638,-87.710946814
2001,THEFT,OVER $500,CONSTRUCTION SITE,41.887248879,-87.635521992
2001,ROBBERY,STRONGARM - NO WEAPON,"SCHOOL, PUBLIC, BUILDING",41.757953659,-87.579649741
2001,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,41.920077211,-87.738734279
2001,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,41.896914188,-87.749641467
2001,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,41.821197313,-87.626532173
2001,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),41.909309157,-87.746262582
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,41.714123567,-87.64285511
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.99598354,-87.787639887
2001,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,41.880209032,-87.728252965
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.981185667,-87.752723213
2001,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,41.769711772,-87.664100074
2001,THEFT,OVER $500,STREET,41.886920147,-87.642881545
2001,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",41.686635264,-87.63359739
2001,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,41.797816233,-87.71608274
2001,BATTERY,SIMPLE,RESIDENCE,41.919760597,-87.75464724
2001,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,41.912042856,-87.769346539
2001,THEFT,OVER $500,RESIDENCE,41.803313031,-87.644172342
2001,ASSAULT,SIMPLE,APARTMENT,41.784152827,-87.697044753
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.74684535,-87.664418224
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.775991453,-87.676111076
2001,BATTERY,SIMPLE,SIDEWALK,41.726583171,-87.625331881
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,41.945877565,-87.757958329
2001,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,41.760424383,-87.610533568
2001,ASSAULT,SIMPLE,OTHER,41.714578532,-87.614124084
2001,BATTERY,SIMPLE,APARTMENT,41.779632016,-87.609712964
2001,BATTERY,SIMPLE,RESIDENCE,41.792794545,-87.676555525
2001,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,41.889430529,-87.615923177
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.909505102,-87.763920657
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.703538603,-87.61595729
2001,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE-GARAGE,41.718672417,-87.648150566
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.795272893,-87.646565178
2001,THEFT,$500 AND UNDER,SIDEWALK,41.768708513,-87.647083189
2001,CRIMINAL TRESPASS,TO VEHICLE,STREET,42.000853228,-87.670616143
2001,BATTERY,SIMPLE,STREET,41.897013104,-87.728454327
2001,ASSAULT,SIMPLE,RESIDENCE,41.862673889,-87.732555647
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.997202082,-87.66564348
2001,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,CHA PARKING LOT/GROUNDS,41.841421559,-87.629051044
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.98629424,-87.775179992
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,41.718762478,-87.626322462
2001,THEFT,$500 AND UNDER,RESIDENCE,41.748712392,-87.64505713
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE PORCH/HALLWAY,41.953130823,-87.664331687
2001,NARCOTICS,POSS: CRACK,STREET,41.766756231,-87.671216433
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,41.88477774,-87.6308042
2001,BATTERY,AGGRAVATED: HANDGUN,STREET,41.811571782,-87.706673877
2001,BATTERY,AGGRAVATED: HANDGUN,CAR WASH,41.908729722,-87.774225038
2001,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,41.9122912,-87.762955366
2001,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,41.909167862,-87.792362265
2001,NARCOTICS,POSS: COCAINE,CHA PARKING LOT/GROUNDS,41.827520746,-87.628869539
2001,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),41.891789206,-87.627660621
2001,BATTERY,SIMPLE,RESIDENCE,41.883016454,-87.760366128
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,41.96415277,-87.757705682
2001,THEFT,$500 AND UNDER,STREET,41.802225124,-87.723570102
2001,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,41.96837185,-87.688253941
2001,CRIMINAL DAMAGE,TO PROPERTY,CTA BUS,41.713372841,-87.559894763
2001,NARCOTICS,POSS: CRACK,CHA HALLWAY/STAIRWELL/ELEVATOR,41.880330289,-87.688508608
2001,BATTERY,SIMPLE,STREET,41.83038838,-87.628849105
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.765988783,-87.573789768
2001,THEFT,OVER $500,STREET,41.963221519,-87.663902572
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.920682272,-87.767231162
2001,BATTERY,SIMPLE,STREET,41.900557114,-87.750982094
2001,BATTERY,SIMPLE,OTHER,41.758431955,-87.624619072
2001,BATTERY,SIMPLE,RESIDENCE,41.746933761,-87.602780614
2001,THEFT,$500 AND UNDER,OTHER,41.765814999,-87.576148771
2001,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,41.703107349,-87.65754408
2001,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,41.827501036,-87.623439517
2001,BURGLARY,FORCIBLE ENTRY,RESTAURANT,41.74298366,-87.663399334
2001,BURGLARY,ATTEMPT FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),41.780951707,-87.789789509
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,41.873398965,-87.656663802
2001,THEFT,OVER $500,RESTAURANT,41.938201927,-87.8000081
2001,NARCOTICS,POSS: COCAINE,RESIDENCE,41.768087414,-87.689600874
2001,ASSAULT,SIMPLE,STREET,41.670749673,-87.640621281
2001,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,41.828301111,-87.626351301
2001,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,41.85825144,-87.726018887
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,41.908501438,-87.760755478
2001,CRIMINAL TRESPASS,TO LAND,STREET,41.792269711,-87.689036268
2001,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),41.760914312,-87.557322879
2001,BATTERY,SIMPLE,CURRENCY EXCHANGE,41.884525248,-87.686380535
2001,BATTERY,SIMPLE,PARK PROPERTY,41.746182795,-87.56629496
2001,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.881994955,-87.62765089
2001,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,41.732105325,-87.573024044
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.883616252,-87.733266554
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.690856634,-87.609324806
2001,THEFT,$500 AND UNDER,RESIDENCE,41.879529348,-87.751797304
2001,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,41.791072535,-87.666793202
2001,BATTERY,SIMPLE,ALLEY,41.91621344,-87.746221354
2001,NARCOTICS,POSS: CRACK,STREET,41.708936607,-87.636911722
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.885346009,-87.701205051
2001,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,41.963534492,-87.651798692
2001,NARCOTICS,POSS: CRACK,SIDEWALK,41.909482627,-87.764369058
2001,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,ALLEY,42.00337989,-87.673823915
2001,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,41.88569165,-87.745615832
2001,ASSAULT,SIMPLE,RESIDENCE,41.741547559,-87.650670229
2001,BATTERY,SIMPLE,STREET,41.893839755,-87.763674168
2001,BATTERY,SIMPLE,STREET,41.84989284,-87.682989516
2001,ARSON,ATTEMPT ARSON,VEHICLE NON-COMMERCIAL,41.847841574,-87.71352473
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.899623895,-87.694191676
2001,THEFT,FINANCIAL ID THEFT: OVER $300,BANK,42.011358944,-87.690082743
2001,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,41.795579263,-87.619394857
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.926716208,-87.763774984
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,41.879527565,-87.735945022
2001,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,41.762351818,-87.666031234
2001,THEFT,$500 AND UNDER,ALLEY,41.769839896,-87.623269144
2001,ASSAULT,SIMPLE,ALLEY,41.874492172,-87.627201025
2001,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,OTHER,41.896488237,-87.755492818
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.798678009,-87.595151741
2001,THEFT,$500 AND UNDER,ATHLETIC CLUB,41.809552326,-87.594957214
2001,THEFT,$500 AND UNDER,RESIDENCE,41.871653294,-87.735750319
2001,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,41.891840033,-87.624773273
2001,BATTERY,SIMPLE,SMALL RETAIL STORE,41.757512132,-87.654070865
2001,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,41.827567126,-87.628825001
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.925904975,-87.752482425
2001,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",41.827794553,-87.62475348
2001,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,41.894858384,-87.63728665
2001,NARCOTICS,MANU/DELIVER:CRACK,STREET,41.989950572,-87.657906351
2001,BATTERY,SIMPLE,CHA APARTMENT,41.842017631,-87.629591324
2001,THEFT,$500 AND UNDER,OTHER,41.786437047,-87.683975899
2001,BATTERY,SIMPLE,ALLEY,41.910107405,-87.716365109
2001,NARCOTICS,POSS: COCAINE,STREET,42.016538042,-87.672355845
2001,NARCOTICS,POSS: CRACK,SIDEWALK,41.909495787,-87.764809795
2001,BATTERY,SIMPLE,STREET,41.909406185,-87.754564427
2001,THEFT,$500 AND UNDER,RESIDENCE,41.777541629,-87.665580491
2001,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,41.943349178,-87.661294891
2001,THEFT,OVER $500,STREET,41.715409333,-87.65507476
2001,NARCOTICS,POSS: HEROIN(WHITE),STREET,41.871443949,-87.736655483
2001,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CHA HALLWAY/STAIRWELL/ELEVATOR,41.877402355,-87.68951845
2001,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,41.713303069,-87.550805102
2001,THEFT,$500 AND UNDER,STREET,41.903075338,-87.692078105
2001,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,41.765999479,-87.572503028
2001,THEFT,$500 AND UNDER,CTA PLATFORM,41.878690677,-87.633896609
2001,THEFT,OVER $500,STREET,41.921212515,-87.804184152
2001,BATTERY,SIMPLE,APARTMENT,41.793549029,-87.631955347
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.768218344,-87.638583988
2001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,41.923128118,-87.779195973
2001,THEFT,$500 AND UNDER,ALLEY,41.950600361,-87.653072416
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.774054434,-87.687319593
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.810955133,-87.593752629
2001,CRIMINAL DAMAGE,TO PROPERTY,OTHER,41.720137838,-87.663973669
2001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,41.77203476,-87.641618511
2001,ASSAULT,SIMPLE,RESIDENCE,41.743826174,-87.664343298
2001,BATTERY,SIMPLE,RESIDENCE,41.932610482,-87.662135302
2001,NARCOTICS,POSS: CRACK,STREET,41.896920905,-87.748803948
2001,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.909641413,-87.694381985
2001,ROBBERY,STRONGARM - NO WEAPON,DELIVERY TRUCK,41.968324969,-87.710070981
2001,THEFT,OVER $500,STREET,41.925326441,-87.663394904
2001,NARCOTICS,POS: HYPODERMIC NEEDLE,OTHER,41.89399581,-87.711245922
2001,BATTERY,SIMPLE,STREET,41.854559847,-87.712567905
2001,THEFT,OVER $500,DEPARTMENT STORE,41.929847446,-87.684643895
2001,BATTERY,SIMPLE,CTA BUS,41.911222114,-87.626484062
2001,BATTERY,SIMPLE,OTHER COMMERCIAL TRANSPORTATION,41.980841114,-87.737430042
2001,ARSON,AGGRAVATED,CHA APARTMENT,41.880330289,-87.688508608
2001,BATTERY,SIMPLE,SMALL RETAIL STORE,41.797990027,-87.723445217
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.772796303,-87.70190443
2001,BURGLARY,FORCIBLE ENTRY,BAR OR TAVERN,41.806772865,-87.606653033
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.914798884,-87.638796841
2001,THEFT,$500 AND UNDER,HOSPITAL BUILDING/GROUNDS,41.925378313,-87.646626773
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,41.711961752,-87.637966832
2001,ASSAULT,SIMPLE,SIDEWALK,41.844653983,-87.70266274
2001,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PUBLIC, BUILDING",41.799151987,-87.759896196
2001,BATTERY,SIMPLE,RESIDENCE,41.904751393,-87.767111097
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.882805493,-87.679270054
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,41.803302283,-87.703985345
2001,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,41.882091491,-87.630414996
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,41.673077392,-87.62717768
2001,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, BUILDING",41.899182138,-87.755850544
2001,NARCOTICS,POSS: CRACK,STREET,41.911958102,-87.758343884
2001,THEFT,$500 AND UNDER,OTHER,41.851107212,-87.612868333
2001,THEFT,$500 AND UNDER,STREET,41.940038766,-87.652758323
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.67908312,-87.669732828
2001,NARCOTICS,POSS: HEROIN(WHITE),STREET,41.872347452,-87.733617967
2001,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,41.730304651,-87.658193303
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.928169593,-87.655934619
2001,BATTERY,SIMPLE,APARTMENT,41.795156592,-87.620712418
2001,BATTERY,SIMPLE,RESIDENCE,41.926249271,-87.723614207
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.825057512,-87.623257382
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.679792934,-87.618765249
2001,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,41.932756876,-87.641490683
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.756813964,-87.555239222
2001,BATTERY,SIMPLE,GAS STATION,41.809191168,-87.622981462
2001,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",41.893623819,-87.759437592
2001,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,41.97361521,-87.654791326
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.93381483,-87.693310178
2001,BATTERY,SIMPLE,APARTMENT,41.655502596,-87.613899808
2001,NARCOTICS,POSS: CRACK,CHA HALLWAY/STAIRWELL/ELEVATOR,41.819537938,-87.62002027
2001,BATTERY,SIMPLE,APARTMENT,41.933568871,-87.70241968
2001,THEFT,$500 AND UNDER,OTHER,41.782276169,-87.575456491
2001,NARCOTICS,POSS: COCAINE,RESIDENCE PORCH/HALLWAY,41.855889971,-87.68073368
2001,NARCOTICS,POSS: BARBITUATES,STREET,41.872766261,-87.696218048
2001,BATTERY,SIMPLE,OTHER,41.800943391,-87.656410727
2001,THEFT,$500 AND UNDER,STREET,41.911180306,-87.710248796
2001,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, GROUNDS",41.71692081,-87.552526674
2001,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,41.659737178,-87.547282078
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.948354732,-87.779547334
2001,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,41.771879779,-87.608033135
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA HALLWAY/STAIRWELL/ELEVATOR,41.865233593,-87.663005702
2001,THEFT,$500 AND UNDER,HOTEL/MOTEL,41.89852843,-87.621779191
2001,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,41.776804289,-87.685869515
2001,THEFT,$500 AND UNDER,SIDEWALK,41.885291288,-87.711286303
2001,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,41.885849517,-87.631053199
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.746268194,-87.601260085
2001,THEFT,OVER $500,RESIDENCE,41.775413015,-87.667637264
2001,BATTERY,SIMPLE,HOTEL/MOTEL,41.89847475,-87.625526389
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.735504705,-87.690171817
2001,THEFT,OVER $500,STREET,41.970312457,-87.787836984
2001,PUBLIC PEACE VIOLATION,ARSON THREAT,SMALL RETAIL STORE,41.869915646,-87.725192548
2001,ROBBERY,STRONGARM - NO WEAPON,ALLEY,41.669265759,-87.635758303
2001,ASSAULT,SIMPLE,STREET,41.895891493,-87.762928681
2001,GAMBLING,GAME/DICE,OTHER,41.874933766,-87.756902381
2001,NARCOTICS,POSS: HEROIN(WHITE),STREET,41.896836204,-87.757021346
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.853931181,-87.631953069
2001,THEFT,$500 AND UNDER,ALLEY,42.002594359,-87.66093301
2001,STALKING,SIMPLE,APARTMENT,41.983635498,-87.730746734
2001,NARCOTICS,POSS: CRACK,STREET,41.919900395,-87.718192482
2001,BATTERY,SIMPLE,OTHER,41.839158546,-87.724265488
2001,ROBBERY,ARMED: HANDGUN,STREET,41.731186608,-87.59756993
2001,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,41.746694976,-87.596330187
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.796395333,-87.61779419
2001,THEFT,OVER $500,ALLEY,41.803038389,-87.610208871
2001,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,41.722929294,-87.63229896
2001,NARCOTICS,POSS: CRACK,SIDEWALK,41.764529079,-87.686850668
2001,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),41.968248894,-87.717330422
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.689673483,-87.629592025
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.894900408,-87.711567709
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.959326094,-87.72066284
2001,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",41.971605637,-87.724641741
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,41.939387017,-87.712561826
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,41.779441198,-87.672790811
2001,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,41.741964485,-87.551589438
2001,THEFT,ATTEMPT THEFT,GROCERY FOOD STORE,41.866496423,-87.707338303
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.775558999,-87.700759165
2001,CRIMINAL DAMAGE,TO PROPERTY,OTHER,41.816244989,-87.650761633
2001,BATTERY,SIMPLE,RESIDENCE,41.729661751,-87.655738157
2001,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,41.688645273,-87.61554065
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,41.759258388,-87.636800398
2001,BATTERY,SIMPLE,RESIDENCE,41.936909145,-87.717176371
2001,THEFT,OVER $500,STREET,41.949804399,-87.753022781
2001,THEFT,OVER $500,RESIDENCE-GARAGE,41.936165906,-87.678100303
2001,THEFT,$500 AND UNDER,APARTMENT,41.765149206,-87.561872074
